DAY_OF_MONTH,ORIGIN,DEST,DEP_TIME,ARR_TIME
13,CMH,STL,1706,1722
13,STL,OKC,1909,2032
13,CLT,STL,1813,1853
13,STL,MKE,1631,1737
13,STL,SLC,1830,2043
13,STL,SAT,1724,1924
13,STL,ORF,2253,0136
13,CID,STL,1908,2003
13,STL,CID,1800,1854
13,STL,CLT,1935,2212
13,SEA,STL,1505,2052
13,MSP,STL,1534,1657
13,STL,BNA,1618,1709
13,DFW,STL,1533,1709
13,STL,MLI,1711,1805
13,IAH,STL,1942,2133
13,CID,STL,2007,2104
13,COS,STL,1720,2028
13,STL,ATL,2147,0009
13,BNA,STL,1800,1858
13,DSM,STL,1948,2040
13,STL,OMA,1706,1821
13,STL,BNA,1828,1927
13,CMH,STL,1756,1817
13,CID,STL,1635,1733
13,MLI,STL,1838,1930
13,STL,RDU,2014,2252
13,IAH,STL,1830,2015
13,STL,IAH,1617,1754
13,ATL,STL,2113,2145
13,ICT,STL,1930,2046
13,STL,RDU,2148,0033
13,LIT,STL,1930,2053
13,STL,CLT,2140,0010
13,STL,LNK,1715,1828
13,STL,DSM,1802,1905
13,PIT,STL,2050,2131
13,STL,LNK,2100,2213
13,STL,MCO,2334,0253
13,STL,IAH,2034,2220
13,MKE,STL,1810,1916
13,PIT,STL,1759,1834
13,STL,MCI,1945,2040
13,STL,DFW,2101,2234
13,STL,CID,1900,1952
13,STL,IAD,2003,2240
13,STL,MKE,2145,2249
13,MKE,STL,2114,2217
13,MCO,STL,2039,2201
13,STL,MSP,1728,1854
13,STL,MSP,2156,2331
13,STL,ICT,1749,1859
13,RDU,STL,1903,2005
13,BNA,STL,2039,2158
13,STL,TUL,1720,1826
13,MCI,STL,1846,1946
13,STL,SDF,2014,2215
13,STL,DFW,1850,2020
13,PIT,LAX,2126,2342
13,LAX,PIT,1457,2232
13,PHL,MCO,2028,2301
13,PHL,LAX,1923,2200
13,LAX,PHL,1409,2153
13,LAX,BWI,1659,0031
13,CLT,LAX,0149,0348
13,LAX,CLT,1527,2237
13,LAX,PHL,2309,0656
13,BWI,LAX,2023,2253
13,CLT,SFO,1720,1935
13,CLT,PHL,0003,0126
13,SFO,CLT,1420,2148
13,CLT,SFO,2118,2330
13,SFO,CLT,2312,0649
13,SFO,PIT,2231,0600
13,SFO,PIT,1544,2308
13,SFO,PHL,1520,2305
13,CLT,SAN,1939,2121
13,PHL,PIT,1936,2032
13,PHL,SAN,1852,2112
13,CLT,MCO,1917,2045
13,BWI,SFO,2218,0118
13,PIT,BWI,2321,0010
13,PIT,SFO,2242,0122
13,PIT,PHL,1802,1901
13,PIT,PHL,2239,2336
13,SAN,PIT,2240,0557
13,CLT,JAX,2142,2252
13,PHL,SFO,0043,0337
13,ATL,PHL,1706,1850
13,ALB,CLT,1821,2017
13,CLT,IAH,2112,2229
13,ATL,PIT,2023,2228
13,PIT,MKE,2302,2334
13,MSP,CLT,1623,1926
13,PHL,BNA,2019,2130
13,PHL,PIT,1853,2000
13,CLT,MKE,1618,1718
13,JAX,DCA,1744,""
13,PHL,CLE,2204,2329
13,PHL,SYR,1620,1717
13,PHL,IND,2213,2315
13,PIT,ALB,1930,2031
13,PIT,ATL,1823,1952
13,CLT,MIA,2114,2309
13,CLT,PIT,2249,0006
13,PIT,PHL,1811,1916
13,PIT,MCO,2258,0113
13,MEM,CLT,2042,2312
13,BNA,PIT,1428,1655
13,PIT,BWI,2103,2218
13,PHL,RSW,2055,2330
13,PHL,CLT,1618,1748
13,PHL,PIT,2005,2121
13,SLC,BIL,1636,1744
13,SAN,ATL,2236,0531
13,BNA,ATL,1743,1939
13,SLC,PHX,2144,2215
13,BNA,ATL,2046,2256
13,LAX,DFW,2133,0215
13,TPA,LAX,2045,2220
13,IAD,ATL,1941,2130
13,LAX,CVG,1400,2059
13,PHX,SLC,1121,1350
13,MSP,SLC,2125,2258
13,ATL,IAH,2026,2112
13,BWI,ATL,1922,2141
13,ATL,JAX,1421,1553
13,CVG,LAS,0003,0114
13,ATL,LAS,1613,1719
13,SLC,LAX,2242,2329
13,DFW,SEA,1614,1801
13,SNA,ATL,1200,1859
13,MIA,ATL,1759,1939
13,ATL,MSY,2329,2351
13,SFO,SLC,1827,2058
13,ATL,IAH,2345,0037
13,SLC,DEN,2129,2246
13,MEM,CVG,1555,1806
13,BNA,ATL,2027,2235
13,ATL,CLT,1708,1806
13,ATL,MDT,2200,2345
13,ATL,TYS,0113,0157
13,ATL,LAS,0244,0345
13,ATL,CVG,0018,0131
13,ATL,TLH,2309,0005
13,BWI,CVG,1908,2029
13,CVG,ABQ,2156,2306
13,MLB,ATL,1908,2040
13,DFW,JAX,1320,1648
13,DFW,TPA,1946,2309
13,CVG,SLC,1440,1627
13,ATL,RSW,1941,2107
13,DAB,ATL,1920,2037
13,IND,ATL,1236,1454
13,SMF,ATL,2257,0603
13,LEX,ATL,1650,1750
13,MIA,ATL,2042,2227
13,ATL,RSW,2358,0148
13,CVG,AUS,1731,1847
13,PDX,SLC,1653,1946
13,LAS,LAX,1202,1302
13,BDL,CVG,1805,2000
13,CVG,SAN,2340,0103
13,ATL,LGA,1523,1724
13,CVG,MCO,1352,1556
13,LAX,LAS,2313,0019
13,DFW,JAX,2019,2334
13,DFW,AUS,2212,2303
13,SAN,DFW,1312,1800
13,PHX,CVG,1623,2242
13,CVG,BWI,1944,2106
13,TLH,ATL,1939,2036
13,CVG,SAT,1947,2111
13,ATL,JAX,2314,0015
13,SEA,ATL,1330,2107
13,ATL,JAX,0002,0100
13,MEM,ATL,2100,2310
13,DEN,SLC,1955,2115
13,SLC,SJC,2223,2306
13,MLU,ATL,1630,1855
13,JAX,ATL,1736,1909
13,MCO,ATL,1711,1826
13,SFO,DFW,1430,1931
13,ABQ,SLC,1930,2053
13,SLC,BOI,2255,2355
13,SFO,ATL,1538,2247
13,ATL,IND,0042,0103
13,ATL,MCO,2339,0104
13,MCO,CVG,1836,2046
13,ATL,LEX,1859,1959
13,ATL,HSV,0045,0033
13,SEA,SLC,1258,1607
13,ATL,CVG,1949,2107
13,ONT,ATL,1730,0032
13,PHL,ATL,1944,2229
13,LAX,LAS,1334,1426
13,SLC,HLN,2336,0048
13,BNA,ATL,2206,0006
13,ATL,MIA,2042,2221
13,ATL,BNA,1945,1947
13,ATL,MCO,0136,0259
13,SAN,SLC,1407,1650
13,SLC,IAH,1801,2146
13,LAX,ATL,1813,0108
13,JAX,ATL,1244,1345
13,CVG,SLC,2156,2348
13,SLC,PDX,2041,2126
13,ORF,ATL,2020,2159
13,LAS,ATL,1535,2236
13,CVG,PHL,2144,2327
13,CVG,TPA,2104,2312
13,ATL,CLT,2117,2213
13,ATL,BWI,1317,1450
13,TPA,DFW,1824,1956
13,ATL,TPA,2319,0038
13,PVD,ATL,1831,2126
13,ATL,BWI,2208,2347
13,BOI,SLC,1300,1408
13,ATL,CMH,1943,2101
13,MEM,ATL,1830,2112
13,DFW,ATL,2318,0220
13,DTW,ATL,1605,1801
13,CVG,BDL,1649,1831
13,HSV,ATL,1909,2057
13,SNA,DFW,1547,2042
13,CVG,PWM,1947,2136
13,ATL,MCI,1953,2101
13,DFW,AUS,1536,1635
13,ATL,MCI,2334,0035
13,SLC,TUL,2040,2353
13,CVG,LAX,1837,2017
13,CMH,CVG,2125,2212
